# Duck SH deformation coefficients epsilon_lm
# R(theta,phi) = R_0 [1 + sum epsilon_lm Y_lm(theta,phi)]
# R_0 = 0.2937620957
# R_eq = 0.4359705304
# ell  m  epsilon_real  epsilon_imag
   1   -1  -6.273383998814e-04  -6.243833123852e-02
   1    0  +2.027182372167e+00  +0.000000000000e+00
   1    1  +6.273383998814e-04  -6.243833123852e-02
   2   -2  -2.525628331210e-01  +1.626231084529e-03
   2   -1  +3.906521543640e-03  +5.264844791024e-01
   2    0  -2.727132239417e+00  +0.000000000000e+00
   2    1  -3.906521543640e-03  +5.264844791024e-01
   2    2  -2.525628331210e-01  -1.626231084529e-03
   3   -3  -5.903714339593e-04  +1.557767058796e-01
   3   -2  -6.100557384397e-02  -3.086604155742e-04
   3   -1  -7.864801156031e-04  -8.973342152344e-02
   3    0  +3.535817065019e+00  +0.000000000000e+00
   3    1  +7.864801156031e-04  -8.973342152344e-02
   3    2  -6.100557384397e-02  +3.086604155742e-04
   3    3  +5.903714339593e-04  +1.557767058796e-01
   4   -4  +5.090068108139e-02  -8.404069015423e-04
   4   -3  -1.873923569250e-04  +4.484390063287e-02
   4   -2  -1.738373662448e-01  +2.456267667751e-03
   4   -1  +5.709067098932e-03  +6.329648350369e-01
   4    0  -2.250580688444e+00  +0.000000000000e+00
   4    1  -5.709067098932e-03  +6.329648350369e-01
   4    2  -1.738373662448e-01  -2.456267667751e-03
   4    3  +1.873923569250e-04  +4.484390063287e-02
   4    4  +5.090068108139e-02  +8.404069015423e-04
   5   -5  +7.298224548593e-04  -2.939127641170e-02
   5   -4  +7.451850824912e-02  +3.125262121151e-04
   5   -3  +4.804196703853e-04  -3.223316095966e-02
   5   -2  +2.325059873923e-01  -1.539338825140e-03
   5   -1  -2.724663909991e-03  -4.058300049266e-01
   5    0  +2.145194265619e+00  +0.000000000000e+00
   5    1  +2.724663909991e-03  -4.058300049266e-01
   5    2  +2.325059873923e-01  +1.539338825140e-03
   5    3  -4.804196703853e-04  -3.223316095966e-02
   5    4  +7.451850824912e-02  -3.125262121151e-04
   5    5  -7.298224548593e-04  -2.939127641170e-02
   6   -6  -2.895519890624e-02  +6.203109503122e-04
   6   -5  -2.562548818943e-04  -3.598487942645e-02
   6   -4  +1.725728527069e-02  +3.117776752006e-04
   6   -3  -1.109056877442e-03  -5.456158281037e-02
   6   -2  -1.779924558085e-01  +2.354194475347e-03
   6   -1  +3.604914891901e-03  +3.488360290068e-01
   6    0  -1.487638302416e+00  +0.000000000000e+00
   6    1  -3.604914891901e-03  +3.488360290068e-01
