# Duck SH deformation coefficients epsilon_lm (scaled by 0.3)
# R(theta,phi) = R_0 [1 + sum epsilon_lm Y_lm(theta,phi)]
# R_0 = 0.2937620957
# R_eq = 0.4359705304
# Scale factor: 0.3
# ell  m  epsilon_real  epsilon_imag
   1   -1  -1.882015199644e-04  -1.873149937156e-02
   1   +0  +6.081547116501e-01  +0.000000000000e+00
   1   +1  +1.882015199644e-04  -1.873149937156e-02
   2   -2  -7.576884993630e-02  +4.878693253587e-04
   2   -1  +1.171956463092e-03  +1.579453437307e-01
   2   +0  -8.181396718251e-01  +0.000000000000e+00
   2   +1  -1.171956463092e-03  +1.579453437307e-01
   2   +2  -7.576884993630e-02  -4.878693253587e-04
   3   -3  -1.771114301878e-04  +4.673301176388e-02
   3   -2  -1.830167215319e-02  -9.259812467226e-05
   3   -1  -2.359440346809e-04  -2.692002645703e-02
   3   +0  +1.060745119506e+00  +0.000000000000e+00
   3   +1  +2.359440346809e-04  -2.692002645703e-02
   3   +2  -1.830167215319e-02  +9.259812467226e-05
   3   +3  +1.771114301878e-04  +4.673301176388e-02
   4   -4  +1.527020432442e-02  -2.521220704627e-04
   4   -3  -5.621770707750e-05  +1.345317018986e-02
   4   -2  -5.215120987344e-02  +7.368803003253e-04
   4   -1  +1.712720129680e-03  +1.898894505111e-01
   4   +0  -6.751742065332e-01  +0.000000000000e+00
   4   +1  -1.712720129680e-03  +1.898894505111e-01
   4   +2  -5.215120987344e-02  -7.368803003253e-04
   4   +3  +5.621770707750e-05  +1.345317018986e-02
   4   +4  +1.527020432442e-02  +2.521220704627e-04
   5   -5  +2.189467364578e-04  -8.817382923510e-03
   5   -4  +2.235555247474e-02  +9.375786363453e-05
   5   -3  +1.441259011156e-04  -9.669948287898e-03
   5   -2  +6.975179621769e-02  -4.618016475420e-04
   5   -1  -8.173991729973e-04  -1.217490014780e-01
   5   +0  +6.435582796857e-01  +0.000000000000e+00
   5   +1  +8.173991729973e-04  -1.217490014780e-01
   5   +2  +6.975179621769e-02  +4.618016475420e-04
   5   +3  -1.441259011156e-04  -9.669948287898e-03
   5   +4  +2.235555247474e-02  -9.375786363453e-05
   5   +5  -2.189467364578e-04  -8.817382923510e-03
   6   -6  -8.686559671872e-03  +1.860932850937e-04
   6   -5  -7.687646456829e-05  -1.079546382793e-02
   6   -4  +5.177185581207e-03  +9.353330256018e-05
   6   -3  -3.327170632326e-04  -1.636847484311e-02
   6   -2  -5.339773674255e-02  +7.062583426041e-04
   6   -1  +1.081474467570e-03  +1.046508087020e-01
   6   +0  -4.462914907248e-01  +0.000000000000e+00
   6   +1  -1.081474467570e-03  +1.046508087020e-01
   6   +2  -5.339773674255e-02  -7.062583426041e-04
   6   +3  +3.327170632326e-04  -1.636847484311e-02
   6   +4  +5.177185581207e-03  -9.353330256018e-05
   6   +5  +7.687646456829e-05  -1.079546382793e-02
   6   +6  -8.686559671872e-03  -1.860932850937e-04
   7   -7  -1.514509273426e-04  +5.562390215229e-04
   7   -6  -1.110215013221e-02  -7.339583140818e-05
   7   -5  -1.151765566267e-05  -6.939643472082e-03
   7   -4  -6.989045800995e-03  -2.444429564781e-05
   7   -3  +3.218010018369e-04  +2.669697403917e-03
   7   -2  +7.570015086576e-02  -1.064192859488e-03
   7   -1  -1.079035517586e-03  -1.349187870158e-01
   7   +0  +3.065915693814e-01  +0.000000000000e+00
   7   +1  +1.079035517586e-03  -1.349187870158e-01
   7   +2  +7.570015086576e-02  +1.064192859488e-03
   7   +3  -3.218010018369e-04  +2.669697403917e-03
   7   +4  -6.989045800995e-03  +2.444429564781e-05
   7   +5  +1.151765566267e-05  -6.939643472082e-03
   7   +6  -1.110215013221e-02  +7.339583140818e-05
   7   +7  +1.514509273426e-04  +5.562390215229e-04
   8   -8  +2.228713469065e-03  -1.785260723025e-04
   8   -7  +3.472994639103e-05  +5.650911256932e-03
   8   -6  -1.638065519035e-02  -1.420707098988e-05
   8   -5  +9.051308142858e-05  +1.690208420467e-03
   8   -4  -5.849603188011e-04  +9.789873981807e-05
   8   -3  -7.982908060800e-05  +9.821055681249e-03
   8   -2  -3.938668123752e-02  +2.940012058426e-04
   8   -1  +5.612377059753e-04  +4.900249366884e-02
   8   +0  -1.751192560990e-01  +0.000000000000e+00
   8   +1  -5.612377059753e-04  +4.900249366884e-02
   8   +2  -3.938668123752e-02  -2.940012058426e-04
   8   +3  +7.982908060800e-05  +9.821055681249e-03
   8   +4  -5.849603188011e-04  -9.789873981807e-05
   8   +5  -9.051308142858e-05  +1.690208420467e-03
   8   +6  -1.638065519035e-02  +1.420707098988e-05
   8   +7  -3.472994639103e-05  +5.650911256932e-03
   8   +8  +2.228713469065e-03  +1.785260723025e-04
   9   -9  +1.719686568616e-04  -4.721339632296e-04
   9   -8  +4.813004164614e-03  -3.287676355683e-05
   9   -7  -5.103670066086e-05  +6.827676852087e-03
   9   -6  -9.552861568179e-03  -8.640145515339e-05
